,jobId,state
523,39140322,Victoria
524,39140585,New South Wales
525,39140937,Australian Capital Territory
526,39141068,Victoria
527,39141434,New South Wales
528,39141490,New South Wales
529,39142029,Victoria
530,39142169,Australian Capital Territory
531,39142189,Australian Capital Territory
532,39142224,New South Wales
533,39142341,Victoria
534,39142342,Australian Capital Territory
535,39142599,Victoria
536,39143877,New South Wales
537,39144208,Australian Capital Territory
538,39144294,New South Wales
539,39144344,Australian Capital Territory
540,39144701,Australian Capital Territory
541,39144969,New South Wales
542,39145155,Victoria
543,39145309,Queensland
544,39145310,Queensland
545,39145517,New South Wales
546,39145623,New South Wales
547,39145625,New South Wales
548,39145632,Victoria
549,39145656,Australian Capital Territory
550,39147769,New South Wales
551,39147918,Queensland
552,39148453,New South Wales
553,39149308,Australian Capital Territory
554,39150122,Australian Capital Territory
555,39150236,Australian Capital Territory
556,39150812,New South Wales
557,39152884,Victoria
558,39153584,Victoria
559,39154386,New South Wales
560,39154780,New South Wales
561,39154922,New South Wales
562,39155311,New South Wales
563,39155479,New South Wales
564,39155701,Victoria
565,39156336,South Australia
566,39157947,New South Wales
567,39157949,Victoria
568,39158078,New South Wales
569,39158413,New South Wales
570,39158585,New South Wales
571,39159087,Western Australia
572,39161483,New South Wales
573,39162694,New South Wales
574,39166001,Queensland
575,39166512,Australian Capital Territory
576,39167724,New South Wales
577,39172106,Queensland
578,39176334,Western Australia
579,39177105,Victoria
580,39177129,New South Wales
581,39177271,Australian Capital Territory
582,39178317,New South Wales
583,39179784,Victoria
584,39180309,New South Wales
585,39180838,New South Wales
586,39183793,New South Wales
587,39183848,Victoria
588,39183880,Australian Capital Territory
589,39186678,Victoria
590,39186687,Victoria
591,39186741,New South Wales
592,39186804,New South Wales
593,39187963,Victoria
594,39190118,Queensland
595,39191884,New South Wales
596,39191925,Victoria
597,39192458,Victoria
598,39196114,Queensland
599,39196324,Victoria
600,39197077,Victoria
601,39197483,New South Wales
602,39203940,Victoria
603,39204161,New South Wales
604,39204776,Queensland
605,39205273,Queensland
606,39205446,New South Wales
607,39205889,New South Wales
608,39206086,New South Wales
609,39206094,Victoria
610,39209298,Victoria
611,39209308,Queensland
612,39212407,Victoria
613,39212408,South Australia
614,39212411,Queensland
615,39216053,New South Wales
616,39218629,New South Wales
617,39219125,New South Wales
618,39219128,New South Wales
619,39219210,South Australia
620,39219879,Queensland
621,39219942,South Australia
622,39221007,Victoria
623,39221071,Victoria
624,39221805,Western Australia
625,39223406,New South Wales
626,39223820,Victoria
627,39224003,Victoria
628,39224036,Victoria
629,39224041,South Australia
630,39227431,New South Wales
631,39229533,Queensland
632,39230754,Victoria
633,39232719,New South Wales
634,39236060,New South Wales
635,39240169,Queensland
636,39241688,New South Wales
637,39245444,New South Wales
638,39245501,New South Wales
639,39248641,Victoria
640,39252322,Victoria
641,39252326,Victoria
642,39254224,New South Wales
643,39254526,New South Wales
644,39254528,New South Wales
645,39254545,New South Wales
646,39255228,Victoria
647,39255303,New South Wales
648,39260102,New South Wales
649,39262220,New South Wales
650,39266120,New South Wales
651,39268236,New South Wales
652,39268326,New South Wales
653,39270155,New South Wales
654,39275873,New South Wales
655,39277503,Victoria
656,39278239,New South Wales
657,39282251,Victoria
658,39288310,Western Australia
659,39291074,Victoria
660,39291207,New South Wales
661,39291438,New South Wales
662,39291787,South Australia
663,39291788,South Australia
664,39291789,South Australia
665,39292299,Victoria
666,39292384,New South Wales
667,39292682,New South Wales
668,39292897,New South Wales
669,39294524,New South Wales
670,39295252,New South Wales
671,39296567,New South Wales
672,39298706,Victoria
673,39302051,New South Wales
674,39302916,New South Wales
675,39308447,Victoria
676,39310230,New South Wales
677,39310483,South Australia
